Year,Player,Goals,Assists,Points
2020,"Alexander, Morgan",4,3,7
2020,"Avery, Lauren",0,0,0
2020,"Carney, Megan",21,11,32
2020,"Carollo, Courtney",0,0,0
2020,"Carter, Molly",1,4,5
2020,"Chevarie, Bianca",4,4,8
2020,"Cockerille, Sierra",12,5,17
2020,"Cooper, Sarah",0,0,0
2020,"Costantino, Vanessa",4,4,8
2020,"Defliese, Kerry",0,0,0
2020,"Fahey, Grace",0,0,0
2020,"Fusco, Rilea",1,0,1
2020,"Goldstock, Asa",0,0,0
2020,"Gray, Kara",0,0,0
2020,"Gray, Lauren",0,0,0
2020,"Harris, Kenzie",2,2,4
2020,"Hawryschuk, Emily",39,7,46
2020,"Kempney, Braelie",0,1,1
2020,"Marino, Danielle",1,0,1
2020,"Mashewske, Kate",0,0,0
2020,"Nazarian, Lila",0,0,0
2020,"Quimby, Cara",5,1,6
2020,"Rahal, Mary",6,3,9
2020,"Recchion, Bella",2,0,2
2020,"Simkins, Ella",1,1,2
2020,"Simkins, Hallie",0,0,0
2020,"Swart, Sam",12,10,22
2020,"Trice, Allyson",0,0,0
2020,"Tyrrell, Emma",3,2,5
2020,"Tyrrell, Meaghan",19,9,28
2020,"Van Middelem, Hannah",0,0,0
2020,"Widner, Morgan",0,0,0
2021,"Alexander, Morgan",5,0,5
2021,"Baker, Mackenzie",0,0,0
2021,"Baxter, Maddy",11,3,14
2021,"Burns, Ava",0,0,0
2021,"Call, Lauren",0,0,0
2021,"Carney, Megan",49,20,69
2021,"Carollo, Courtney",0,0,0
2021,"Chevarie, Bianca",6,1,7
2021,"Cockerille, Sierra",22,28,50
2021,"Cooper, Sarah",0,1,1
2021,"Defliese, Kerry",0,0,0
2021,"Ehle, Emily",10,21,31
2021,"Fahey, Grace",1,0,1
2021,"Fusco, Rilea",0,0,0
2021,"Goldstock, Asa",0,0,0
2021,"Goodale, Katie",0,0,0
2021,"Gray, Kara",0,0,0
2021,"Gray, Lauren",0,0,0
2021,"Harris, Kenzie",0,0,0
2021,"Hawryschuk, Emily",4,1,5
2021,"Jimerson, Jalyn",1,0,1
2021,"Kempney, Braelie",0,0,0
2021,"Marino, Alex",0,0,0
2021,"Marino, Danielle",0,0,0
2021,"Markey, Jenny",9,6,15
2021,"Mashewske, Kate",0,0,0
2021,"Nazarian, Lila",0,0,0
2021,"Quimby, Cara",6,2,8
2021,"Recchion, Bella",0,0,0
2021,"Simkins, Ella",0,4,4
2021,"Simkins, Hallie",0,0,0
2021,"Smith, Natalie",0,0,0
2021,"Swart, Sam",41,7,48
2021,"Trice, Allyson",0,0,0
2021,"Tyrrell, Emma",42,16,58
2021,"Tyrrell, Meaghan",68,44,112
2021,"Van Middelem, Hannah",0,0,0
2021,"Ward, Emma",43,30,73
2021,"Widner, Morgan",0,0,0
2022,"Adamson, Olivia",31,9,40
